id,bg_name,year,popularity,best_for,weigth
360,The Godfather: Corleone's Empire,2017,6544,4.0,2.62
361,Nippon,2015,4542,4.0,3.78
362,London (Second Edition),2017,5578,3.0,2.72
363,San Juan (Second Edition),2014,6519,3.0,2.07
364,Claustrophobia,2009,6819,2.0,2.48
365,Civilization,1980,7247,7.0,3.66
366,Maria,2009,3047,3.0,3.5
367,Downforce,2017,10381,3.0,1.73
368,Codenames: Pictures,2016,19185,6.0,1.25
369,Dune,1979,5640,6.0,3.45
370,Advanced Squad Leader,1985,3633,2.0,4.74
371,Chinatown,1999,9413,5.0,2.26
372,Dice Forge,2017,17695,4.0,1.96
373,Space Hulk (Third Edition),2009,6889,2.0,2.78
374,Destinies,2021,4132,2.0,1.93
375,Twice as Clever!,2019,6604,2.0,2.35
376,Stockpile,2015,6185,5.0,2.12
377,Arkham Horror,2005,37864,4.0,3.58
378,Marvel United,2020,5191,3.0,1.82
379,Meadow,2021,3700,2.0,2.21
380,Mice and Mystics,2012,17955,4.0,2.72
381,Macao,2009,7175,3.0,3.14
382,The Manhattan Project,2012,9442,4.0,2.96
383,The King's Dilemma,2019,3492,5.0,2.29
384,Fresco,2010,12405,4.0,2.64
385,Thunderstone Quest,2018,3677,2.0,2.84
386,Santa Maria,2017,5946,3.0,3.05
387,Millennium Blades,2016,4382,4.0,3.68
388,Firefly: The Game,2013,11099,3.0,2.96
389,Flash Point: Fire Rescue,2011,22340,4.0,2.2
390,Spartacus: A Game of Blood and Treachery,2012,7801,4.0,2.71
391,Biblios,2007,16211,3.0,1.68
392,Sprawlopolis,2018,7056,1.0,1.85
393,Charterstone,2017,13136,6.0,2.84
394,A Few Acres of Snow,2011,7653,2.0,3.04
395,Anno 1800,2020,3444,3.0,3.17
396,Point Salad,2019,12782,0.0,1.17
397,Imperial Settlers: Empires of the North,2019,5530,2.0,2.82
398,Kingsburg,2007,18891,4.0,2.43
399,Lancaster,2011,6995,4.0,2.99
400,Schotten Totten,1999,9085,2.0,1.72
401,Blood Bowl: Living Rulebook,2004,3398,2.0,3.17
402,Quadropolis,2016,11944,4.0,2.21
403,Skull,2011,17372,6.0,1.13
404,Heroscape Master Set: Rise of the Valkyrie,2004,7967,2.0,2.29
405,Glen More,2010,8947,4.0,2.67
406,Pandemic: Reign of Cthulhu,2016,8912,4.0,2.17
407,Wavelength,2019,7269,6.0,1.11
408,Risk Legacy,2011,7941,5.0,2.59
409,Lord of the Rings: The Confrontation,2005,5917,2.0,2.2
410,Smartphone Inc.,2018,3999,5.0,2.74
411,Amerigo,2013,5785,4.0,2.98
412,Pandemic: The Cure,2014,9978,4.0,2.06
413,BattleLore,2006,9181,2.0,2.77
414,Commands & Colors: Napoleonics,2010,2856,2.0,2.74
415,PitchCar,1995,10184,6.0,1.13
416,Sheriff of Nottingham,2014,32143,5.0,1.65
417,Amun-Re,2003,8775,5.0,3.04
418,Radlands,2021,2281,2.0,2.22
419,Mystic Vale,2016,10184,2.0,2.25
420,Oath: Chronicles of Empire and Exile,2021,3390,4.0,4.01
421,Blood Bowl (Third Edition),1994,5413,2.0,2.98
422,1775: Rebellion,2013,3946,2.0,2.24
423,Descent: Journeys in the Dark,2005,11511,5.0,3.34
424,Mansions of Madness,2011,13154,5.0,3.24
425,Forbidden Desert,2013,27838,4.0,2.05
426,Shadows of Brimstone: City of the Ancients,2014,3623,4.0,3.35
427,Exit: The Game – Dead Man on the Orient Express,2017,3941,2.0,2.71
428,Raptor,2015,8833,2.0,2.08
429,Colt Express,2014,27652,6.0,1.82
430,Chess,1475,31627,2.0,3.68
431,Pipeline,2019,3902,3.0,3.9
432,Stuffed Fables,2018,5690,4.0,2.41
433,Black Orchestra,2016,5196,3.0,2.41
434,"Labyrinth: The War on Terror, 2001 – ?",2010,4594,2.0,3.63
435,Deus,2014,8006,0.0,2.85
436,The King Is Dead: Second Edition,2020,3271,3.0,2.14
437,Hanabi,2010,42578,4.0,1.69
438,Citadels,2000,50877,5.0,2.05
439,Mandala,2019,3960,2.0,1.78
440,Shadows over Camelot,2005,26327,7.0,2.57
441,Middara: Unintentional Malum – Act 1,2019,1856,4.0,4.03
442,Citadels,2016,9960,5.0,2.01
443,Madeira,2013,4168,4.0,4.3
444,Catan,1995,110772,4.0,2.31
445,Lords of Vegas,2010,6975,4.0,2.36
446,Friday,2011,18485,1.0,2.15
447,Sidereal Confluence,2017,3191,6.0,3.55
448,Betrayal Legacy,2018,3960,5.0,2.86
449,BattleCON: Devastation of Indines,2013,3088,2.0,3.09
450,Skull King,2013,5725,5.0,1.71
451,Fire in the Lake,2014,2467,4.0,4.1
452,Freedom: The Underground Railroad,2012,4119,0.0,2.9
453,Raiders of Scythia,2020,2953,3.0,2.67
454,First Class: All Aboard the Orient Express!,2016,5254,4.0,2.78
455,Junk Art,2016,6258,6.0,1.22
456,Oceans,2020,4528,3.0,2.82
457,London,2010,6401,3.0,2.88
458,Legends of Andor,2012,16794,4.0,2.76
459,Archipelago,2012,7735,4.0,3.74
460,Imhotep,2016,13545,4.0,2.0
461,Small World Underground,2011,10305,4.0,2.59
462,Argent: The Consortium,2015,3573,3.0,3.81
463,The Grizzled,2015,13349,5.0,1.96
464,Cloudspire,2019,2246,2.0,4.3
465,Euphoria: Build a Better Dystopia,2013,10030,5.0,3.12
466,Railroad Ink: Deep Blue Edition,2018,9605,2.0,1.48
467,Time's Up! Title Recall!,2008,3329,6.0,1.19
468,Potion Explosion,2015,15885,0.0,1.76
469,King of Tokyo: Dark Edition,2020,3374,5.0,1.65
470,The Fox in the Forest,2017,11657,2.0,1.58
471,Roads & Boats,1999,3213,2.0,4.19
472,Sentinels of the Multiverse,2011,15357,4.0,2.51
473,Escape Plan,2019,4269,4.0,3.69
474,Thurn and Taxis,2006,18887,4.0,2.26
475,Libertalia,2012,13222,4.0,2.24
476,Hadara,2019,5080,5.0,2.2
477,No Thanks!,2004,22578,5.0,1.14
478,Ingenious,2004,16217,2.0,1.91
479,1846: The Race for the Midwest,2005,2450,4.0,3.94
480,7 Wonders (Second Edition),2020,2660,5.0,2.21
481,TZAAR,2007,3457,2.0,2.53
482,One Night Ultimate Werewolf,2014,23835,8.0,1.38
483,Blackout: Hong Kong,2018,4786,3.0,3.48
484,Bohnanza,1997,40910,5.0,1.67
485,Egizia,2009,5267,4.0,2.83
486,Airlines Europe,2011,7077,4.0,2.44
487,Elysium,2015,9035,0.0,2.76
488,Port Royal,2014,14846,4.0,1.62
489,Queendomino,2017,9366,2.0,2.07
490,Kemet: Blood and Sand,2021,2129,4.0,3.17
491,RoboRally,1994,23067,6.0,2.43
492,Sushi Go!,2013,39328,4.0,1.16
493,Vikings,2007,8139,3.0,2.54
494,Tales of the Arabian Nights,2009,12115,3.0,2.16
495,Vinhos,2010,4629,4.0,4.21
496,Chicago Express,2007,7792,4.0,2.78
497,Runebound (Third Edition),2015,5470,2.0,2.7
498,Last Will,2011,9585,4.0,2.72
499,Zombie Kidz Evolution,2018,3290,4.0,1.39
500,Love Letter,2019,4185,4.0,1.13
501,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,2013,12351,4.0,2.71
502,Alhambra,2003,30734,3.0,2.1
503,Pax Porfiriana,2012,3313,4.0,3.61
504,The Colonists,2016,3795,2.0,4.1
505,Karuba,2015,9708,4.0,1.45
506,Taj Mahal,2000,7350,4.0,2.99
507,Discworld: Ankh-Morpork,2011,9749,4.0,2.21
508,Cubitos,2021,3907,4.0,2.17
509,Baseball Highlights: 2045,2015,4067,2.0,2.22
510,Photosynthesis,2017,19641,3.0,2.27
511,StarCraft: The Board Game,2007,7231,4.0,3.85
512,Colosseum,2007,8671,5.0,2.76
513,Love Letter Premium,2016,4981,6.0,1.3
514,Space Empires 4X,2011,3396,2.0,3.38
515,Paperback,2014,9788,2.0,1.99
516,Furnace,2020,4314,4.0,2.22
517,Star Wars: X-Wing (Second Edition),2018,2277,2.0,3.04
518,Nexus Ops,2005,8640,4.0,2.23
519,Camel Up,2014,24455,5.0,1.47
520,Hammer of the Scots,2002,3972,2.0,2.97
521,DVONN,2001,4693,2.0,2.66
522,AquaSphere,2014,6910,4.0,3.69
523,Blitzkrieg!: World War Two in 20 Minutes,2019,3192,2.0,1.86
524,Unmatched: Robin Hood vs. Bigfoot,2019,2256,2.0,1.94
525,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2015,2988,2.0,2.85
526,Evolution,2014,14866,4.0,2.43
527,Dawn of the Zeds (Third Edition),2016,2035,1.0,3.8
528,Canvas,2021,4680,4.0,1.66
529,Automobile,2009,5541,5.0,3.52
530,Conan,2016,4249,4.0,2.78
531,Valeria: Card Kingdoms,2016,4763,3.0,2.0
532,Carson City,2009,6931,4.0,3.18
533,Francis Drake,2013,4813,5.0,2.92
534,Jamaica,2007,17552,6.0,1.65
535,Broom Service,2015,8971,4.0,2.41
536,Blood Bowl (2016 Edition),2016,2448,2.0,3.52
